Month,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
January,1927,2617,2993,2645,3093,2049,1984
February,2313,3348,3777,3739,1795,4397,1227
March,1436,2501,3442,1993,2035,2684,2092
April,494,1021,1629,1995,1909,2423,884
May,551,707,1264,896,646,1628,537
June,2360,1961,1565,1263,1332,1481,969
July,2353,1289,1234,2313,1936,903,570
August,1400,2129,1762,749,1129,1720,946
September,1867,1544,1396,732,728,1794,1852
October,257,397,664,719,471,447,294
November,790,633,626,485,766,669,489
December,2390,2366,2816,2673,2044,3767,1723
